Accession	Molecular Function(EcoCyc)
P23003	tRNA (uracil-5-)-methyltransferase activity|methyltransferase activity|transferase activity
P09155	hydrolase activity|exonuclease activity|ribonuclease D activity|nuclease activity
B1XEF7	iron-sulfur cluster binding|metal ion binding
B1XGB0	hydrolase activity|allantoinase activity|metal ion binding
Q47013	hydrolase activity|peptidase activity|cysteine-type peptidase activity
C4ZR10	DNA binding
C4ZV51	isomerase activity
P0AFC7	4 iron, 4 sulfur cluster binding|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NADH dehydrogenase (quinone) activity|metal ion binding
P75898	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|oxidoreductase activity|monooxygenase activity
Q46800	oxidoreductase activity|xanthine dehydrogenase activity
P0A7H6	metal ion binding
B1XFL1	DNA binding
A4UR75	DNA binding
D0VE88	glycerol-3-phosphate O-acyltransferase activity|transferase activity|acyltransferase activity
C4ZY85	hydrolase activity|adenosine deaminase activity|metal ion binding
P76407	transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
P10026	DNA binding
B1X6Z1	transferase activity
C4ZZL2	transferase activity|acyltransferase activity
P40719	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
P77324	oxidoreductase activity|xanthine dehydrogenase activity
P76192	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
P76091	transferase activity
P23721	transaminase activity|transferase activity|O-phospho-L-serine:2-oxoglutarate aminotransferase activity
B1X800	4 iron, 4 sulfur cluster binding|methyltransferase activity|iron-sulfur cluster binding|transferase activity|metal ion binding
B1XCY2	lyase activity|nucleotide binding|ATP binding
P0AAH4	nucleotide binding|ATP binding
P0A9Y6	DNA binding
P0AFP6	metal ion binding
C4ZZN9	DNA binding
P11458	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|transferase activity|metal ion binding
B1XBL1	isomerase activity|lyase activity
C4ZU78	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
B1X9Z2	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
B1XEC9	oxidoreductase activity
P45524	hydrolase activity|carboxylesterase activity
P46849	RNA-3'-phosphate cyclase activity|nucleotide binding|ligase activity|ATP binding
P52598	DNA binding
C4ZWB9	carboxypeptidase activity
P0AC55	nucleotide binding
P76175	ion channel activity|voltage-gated ion channel activity|chloride channel activity
C4ZZM4	4 iron, 4 sulfur cluster binding|lyase activity|iron-sulfur cluster binding|metal ion binding
C4ZUF3	RNA binding|rRNA binding|tRNA binding
C4ZZD5	oxidoreductase activity
B1XDJ5	transferase activity|nucleotide binding|kinase activity|ATP binding
P75764	iron-sulfur cluster binding|metal ion binding
B1X7I5	transferase activity
P0A9I8	nitrite reductase [NAD(P)H] activity|oxidoreductase activity
P0AA41	isomerase activity
C4ZYC3	DNA binding
C4ZY73	DNA binding
B1XF23	hydrolase activity|hydrolase activity, acting on glycosyl bonds|lysozyme activity|catalytic activity
P11446	N-acetyl-gamma-glutamyl-phosphate reductase activity|oxidoreductase activity
P77499	nucleotide binding|ATP binding
P0ABR7	oxidoreductase activity|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
P25665	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity|methyltransferase activity|transferase activity|metal ion binding
P0ABL5	metal ion binding
P77467	lyase activity|enoyl-CoA hydratase activity
B1X910	hydrolase activity
B1XES8	transferase activity
P0ABZ6	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
B1X8Z4	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity
C4ZRS2	lyase activity
C4ZW96	oxidoreductase activity
B1XAB2	lyase activity
P77791	maltose O-acetyltransferase activity|transferase activity
P75697	transferase activity|acyltransferase activity
B1XFD1	transferase activity|malate synthase activity
P0A6Z1	nucleotide binding|ATP binding
C4ZRA7	nucleotide binding|ligase activity|ATP binding
C4ZZ14	hydrogen ion transporting ATP synthase activity, rotational mechanism
P0A814	hydrolase activity|metal ion binding|crossover junction endodeoxyribonuclease activity|nuclease activity
C4ZSW0	N-acylmannosamine kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
C4ZU25	nucleotide binding|ATP binding
C5A0E6	hydrolase activity|metal ion binding
C4ZVQ7	kinase activity
P25741	transferase activity|nucleotide binding|kinase activity|ATP binding
P37095	hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding
B1XH80	hydrolase activity|metal ion binding
P0CE57	DNA binding
B1X8C6	3-demethylubiquinone-9 3-O-methyltransferase activity|methyltransferase activity|transferase activity
B1XB33	lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
B1XEZ3	isomerase activity|transferase activity
P0AG48	RNA binding|rRNA binding
P0ABB8	hydrolase activity|magnesium-importing ATPase activity|nucleotide binding|metal ion binding|ATP binding
P0AE67	metal ion binding
P63224	isomerase activity|metal ion binding
P0AB71	lyase activity|fructose-bisphosphate aldolase activity|metal ion binding
P0ACH1	DNA binding
P33595	DNA binding
P21866	DNA binding
P0AC47	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|3 iron, 4 sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding|succinate dehydrogenase activity
C4ZZQ1	transferase activity|2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity|nucleotidyltransferase activity
C5A026	GTP binding|nucleotide binding
C5A1C7	DNA binding
P0A9F6	DNA binding
P27127	transferase activity, transferring glycosyl groups|transferase activity
P08622	metal ion binding
P23827	serine-type endopeptidase inhibitor activity|peptidase inhibitor activity
C4ZZ21	DNA binding
P25552	hydrolase activity|guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity
P07395	phenylalanine-tRNA ligase activity|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
B1XF74	transferase activity|nucleotide binding|kinase activity|ATP binding
B1XEH9	exonuclease activity
P04982	isomerase activity
C4ZTT1	thymidine kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
Q46801	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
B1X9Y2	DNA binding
P31677	transferase activity, transferring glycosyl groups|alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity|transferase activity
C4ZTJ3	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
C4ZRN5	kinase activity
B1X9H2	oxidoreductase activity
C5A034	GTPase activator activity
P60785	hydrolase activity|GTP binding|nucleotide binding
C4ZVI6	hydrolase activity
B1XFD7	DNA binding
B1X768	DNA binding
B1X9S4	kinase activity
P0A823	DNA binding
B1XBR7	isomerase activity
P37051	hydrolase activity|formyltetrahydrofolate deformylase activity
C4ZZ07	transaminase activity|transferase activity|glutamine-fructose-6-phosphate transaminase (isomerizing) activity
C4ZTI0	RNA binding|tRNA binding|transferase activity|nucleotide binding|ATP binding
C4ZY54	ion channel activity|voltage-gated ion channel activity|chloride channel activity
B1XAJ2	DNA binding
C4ZR77	RNA binding|rRNA binding
B1XFF7	oxidoreductase activity
B1XDT0	hydrolase activity|RNA binding|exonuclease activity|nuclease activity
P33353	metal ion binding
P39334	DNA binding
C4ZT06	nucleotide binding|ATP binding
C5A153	DNA binding
C4ZYV4	DNA binding|nucleotide binding|ATP binding
C4ZQE7	hydrolase activity|metal ion binding|crossover junction endodeoxyribonuclease activity|nuclease activity
C5A0E7	transferase activity|kinase activity
C4ZSB0	histidinol-phosphate transaminase activity|transaminase activity|transferase activity
P00811	hydrolase activity|beta-lactamase activity
C4ZVK9	acetyl-CoA carboxylase activity
B1XHI5	transferase activity|nucleotide binding|kinase activity|ATP binding
P0AG40	riboflavin kinase activity|FMN adenylyltransferase activity|transferase activity|nucleotide binding|catalytic activity|nucleotidyltransferase activity|ATP binding
C4ZY99	glucokinase activity|transferase activity|kinase activity|nucleotide binding|zinc ion binding|metal ion binding|ATP binding
C4ZVX4	DNA binding
B1XAK4	DNA binding
B1XAE5	hydrolase activity
P37653	cellulose synthase (UDP-forming) activity|transferase activity, transferring glycosyl groups|transferase activity
C4ZUT9	hydrolase activity|glutaminase activity
B1XAF0	lyase activity
P0AE52	oxidoreductase activity|peroxidase activity|peroxiredoxin activity
B1XDV1	RNA binding|rRNA binding
C4ZW87	nucleotide binding|ATP binding
B1XC77	metal ion binding
B1XFS4	DNA binding
C4ZRK8	transferase activity|acyltransferase activity
P75966	isomerase activity
B1XC18	methyltransferase activity|cobalamin binding|metal ion binding
B1XGZ2	carboxypeptidase activity
B1XG84	hydrolase activity
P0AAJ1	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
C5A069	isomerase activity|racemase and epimerase activity, acting on carbohydrates and derivatives
P26218	porin activity
P76161	DNA binding
C4ZT73	nucleotide binding|ATP binding
P07013	DNA binding
C4ZS98	carboxypeptidase activity
B1XBJ2	DNA binding
B1XGC7	hydrolase activity|methylenetetrahydrofolate dehydrogenase (NADP+) activity|oxidoreductase activity|methenyltetrahydrofolate cyclohydrolase activity|catalytic activity
C4ZW13	receptor activity
B1X7W7	DNA binding
P0ADW3	oxidoreductase activity
P61889	L-malate dehydrogenase activity|oxidoreductase activity
P09099	xylulokinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
B1X6U6	carboxypeptidase activity
P0AAM1	metal ion binding
B1XAK6	oxidoreductase activity
C4ZPY2	isomerase activity
B1XAZ6	transferase activity
B1XCD8	transferase activity
B1XCU3	transferase activity
C4ZT61	lyase activity
P28638	methyltransferase activity|transferase activity|site-specific DNA-methyltransferase (adenine-specific) activity
Q57083	DNA binding
P05824	nucleotide binding|ATP binding
B1X8I1	isomerase activity|xylose isomerase activity|metal ion binding
P0AFE4	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity
B1XBX2	DNA binding
P75894	oxidoreductase activity
B1X6E2	ion channel activity
C4ZW65	peroxidase activity
B1XCZ2	hydrolase activity
P31459	2-dehydro-3-deoxygalactonokinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZWU7	DNA binding
C4ZXX1	helicase activity
P12999	methyltransferase activity|transferase activity
C4ZUH1	RNA binding|rRNA binding
B1X842	lyase activity
C4ZQY4	sigma factor activity|DNA binding
B1XB92	glycerol kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZRY8	transferase activity|acyltransferase activity
B1XAH2	transferase activity|hydroxymethylbilane synthase activity
A4UR80	DNA binding
B1X637	leucine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P77503	oxidoreductase activity
B1XHI0	GTP binding|nucleotide binding|ATP binding
C4ZU83	oxidoreductase activity|glycerol-3-phosphate dehydrogenase activity|sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity|sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
B1XDF5	aminobutyraldehyde dehydrogenase activity|oxidoreductase activity
C5A098	nucleotide binding|ATP binding
B1X9W5	lipid binding
P0ACB0	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
B1XDB0	oxidoreductase activity
P76257	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
B1XGF8	DNA binding
C5A029	isomerase activity
B1X814	oxidoreductase activity|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
P15043	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
P77414	transferase activity
B1XAK9	hydrolase activity|metallopeptidase activity|peptidase activity|dipeptidase activity|metal ion binding
P0CI31	oxidoreductase activity|oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
B1X8P9	oxidoreductase activity|dihydroorotate dehydrogenase activity
C4ZZL8	DNA binding
B1XHC8	hydrolase activity|helicase activity|nucleotide binding|ATP binding
C4ZPZ2	DNA binding
P15877	quinoprotein glucose dehydrogenase activity|oxidoreductase activity
Q47538	hydrolase activity|taurine-transporting ATPase activity|nucleotide binding|ATP binding
B1XCX2	nucleotide binding|ATP binding
C4ZST4	nucleotide binding|ATP binding
B1X8M2	3-deoxy-manno-octulosonate cytidylyltransferase activity|transferase activity|nucleotidyltransferase activity
P0A7E3	orotate phosphoribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity
C4ZU50	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XC88	DNA binding
B1XAX4	phosphoribosylformylglycinamidine cyclo-ligase activity|nucleotide binding|ligase activity|ATP binding
P0AAB6	UTP:glucose-1-phosphate uridylyltransferase activity|transferase activity|nucleotidyltransferase activity
P0A720	thymidylate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZZU2	metal ion binding
C4ZVF0	phosphatidate cytidylyltransferase activity|transferase activity|nucleotidyltransferase activity
B1XAN4	lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
B1XGR3	oxidoreductase activity|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
P0CF46	DNA binding
P32703	antiporter activity
P11350	nitrate reductase activity|oxidoreductase activity|metal ion binding
P0A8H8	metal ion binding
P27245	DNA binding
B1X731	aminoacyl-tRNA ligase activity|nucleotide binding|ligase activity|ATP binding
B1XDX9	transferase activity|acyltransferase activity
B1XFE0	hydrolase activity
B1XHC2	pyruvate kinase activity|transferase activity|kinase activity
P31802	DNA binding|nucleotide binding|ATP binding
B8LFD8	transferase activity
C4ZSN2	isomerase activity|hydrolase activity
C4ZVA6	DNA binding
B1X6Y4	metal ion binding
P0A935	lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
B1XCP0	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XG39	hydrolase activity
P0AF52	nucleotide binding|ATP binding
P02919	hydrolase activity|peptidoglycan glycosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity|catalytic activity
P07650	thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity
